count,magx,magy,magz
0,-42.875,54.875,-8.0625
1,-42.1875,55.25,-6.875
2,-42.5625,55.25,-6.875
3,-42.5625,55.25,-6.5
4,-41.875,55.6875,-6.0625
5,-42.1875,55.6875,-6.875
6,-42.875,54.875,-6.5
7,-42.1875,56.375,-6.875
8,-41.0625,56.375,-6.875
9,-42.1875,56.0625,-6.875
10,-42.1875,56.75,-8.0625
11,-43.25,55.6875,-5.75
12,-42.1875,55.25,-6.0625
13,-41.5,55.25,-6.875
14,-41.875,56.0625,-6.5
15,-41.875,54.875,-6.0625
16,-41.5,55.6875,-6.875
17,-42.5625,55.6875,-7.25
18,-42.5625,56.0625,-6.875
19,-41.875,55.6875,-5.375
20,-43.6875,56.375,-6.875
21,-42.5625,54.875,-6.875
22,-41.875,55.25,-6.875
23,-42.5625,55.25,-7.25
24,-42.5625,56.0625,-6.5
25,-42.5625,54.875,-6.5
26,-42.5625,56.375,-6.5
27,-41.875,57.0625,-6.875
28,-42.1875,54.875,-6.5
29,-42.5625,54.875,-7.25
30,-42.875,55.25,-6.875
31,-42.5625,55.6875,-6.0625
32,-42.1875,56.375,-6.0625
33,-42.5625,54.875,-5.75
34,-42.1875,55.25,-7.25
35,-42.875,55.6875,-7.25
36,-41.875,54.5625,-7.25
37,-43.25,55.25,-6.5
38,-42.875,56.0625,-7.25
39,-42.875,54.875,-6.5
40,-42.1875,56.0625,-7.6875
41,-41.5,55.25,-6.0625
42,-42.875,55.6875,-7.6875
43,-42.875,55.6875,-6.875
44,-41.875,55.25,-6.0625
45,-42.875,55.6875,-6.875
46,-42.1875,55.6875,-6.875
47,-42.875,54.875,-6.875
48,-43.25,55.25,-6.875
49,-42.5625,55.6875,-7.25
50,-42.1875,55.25,-6.5
51,-42.1875,55.25,-7.25
52,-42.875,55.6875,-6.875
53,-42.875,54.5625,-6.5
54,-42.5625,55.25,-6.0625
55,-41.5,54.875,-6.5
56,-41.5,55.25,-6.875
57,-43.25,55.25,-6.0625
58,-42.1875,55.6875,-6.875
59,-42.5625,55.6875,-5.375
60,-42.875,54.875,-6.875
61,-42.5625,56.0625,-8.0625
62,-41.875,56.375,-6.0625
63,-41.875,55.6875,-6.5
64,-42.5625,55.6875,-6.875
65,-42.875,55.6875,-6.875
66,-42.1875,55.25,-6.875
67,-43.25,54.5625,-5.75
68,-41.875,54.5625,-6.875
69,-42.5625,54.875,-6.5
70,-41.875,54.5625,-5.75
71,-41.5,55.6875,-7.25
72,-41.875,55.25,-6.5
73,-42.1875,55.6875,-6.5
74,-42.5625,55.6875,-6.875
75,-41.875,55.25,-6.875
76,-42.5625,56.0625,-7.25
77,-42.5625,55.25,-6.5
78,-42.1875,55.25,-6.875
79,-42.875,55.25,-6.5
80,-42.5625,54.875,-6.875
81,-42.5625,55.25,-6.875
82,-42.1875,56.0625,-6.875
83,-41.875,55.25,-7.25
84,-42.1875,56.375,-6.0625
85,-41.875,55.25,-6.875
86,-42.1875,56.0625,-7.25
87,-41.875,55.25,-6.875
88,-42.5625,54.875,-6.875
89,-42.1875,54.875,-6.875
90,-42.5625,54.875,-5.375
91,-42.5625,55.6875,-6.0625
92,-42.1875,55.25,-6.5
93,-42.5625,57.0625,-6.0625
94,-43.6875,55.25,-7.25
95,-41.875,55.6875,-6.0625
96,-42.5625,56.0625,-6.0625
97,-42.875,54.875,-7.25
98,-42.1875,54.875,-5.75
99,-42.875,54.875,-6.875
